Language	Language (local)	Wiki	Articles	Total	Edits	Admins	Users	Active Users	Images	Depth
Macedonian	македонски	mk	94,339	430,349	3,716,762	16	75,055	217	7,620	109.56
Tajik	тоҷикӣ	tg	93,777	175,002	995,483	4	22,769	62	374	4.27
Malagasy	Malagasy	mg	84,955	219,838	814,315	2	17,723	37	4	9.34
Latvian	latviešu	lv	84,568	343,854	2,846,336	10	75,905	304	20,546	77.81
Occitan	occitan	oc	84,536	141,342	2,077,432	4	35,119	98	887	6.64
Tagalog	Tagalog	tl	81,223	231,947	1,630,307	11	92,268	108	1,936	24.2
Kirghiz	Кыргызча	ky	79,786	100,161	319,182	3	19,912	52	2,681	0.21
Tatar	татарча/tatarça	tt	79,003	187,187	2,267,899	3	26,980	79	4,018	22.72
Bosnian	bosanski	bs	77,349	363,662	2,919,785	8	105,720	167	24,043	110.01
Asturian	asturianu	ast	74,789	118,967	1,523,120	9	44,019	130	0	4.47
Albanian	shqip	sq	73,660	205,793	1,858,336	10	103,751	255	11,430	29.06
Southern Azerbaijani	تۆرکجه	azb	72,332	153,670	384,926	4	11,638	75	0	3.17
Newar	नेपाल भाषा	new	72,153	196,216	843,885	1	18,714	21	0	12.72
Telugu	తెలుగు	te	68,871	230,505	2,353,565	15	72,000	190	11,872	56.24
Cantonese	粵語	zh-yue	66,553	169,711	1,190,280	9	153,894	202	1,515	16.85
Breton	brezhoneg	br	64,552	126,970	1,788,780	7	49,214	76	5,402	13.17
Piedmontese	Piemontèis	pms	64,340	98,522	839,403	9	18,925	35	2,078	2.4
Belarusian (Taraškievica)	беларуская (тарашкевіца)‎	be-tarask	62,959	167,266	1,967,710	5	55,472	93	1,473	32.29
Bengali	বাংলা	bn	58,080	577,884	2,994,644	17	182,627	980	4,712	415.08
Malayalam	മലയാളം	ml	56,203	353,253	2,793,637	19	107,020	380	5,628	220.91
Javanese	Basa Jawa	jv	54,878	143,915	1,439,360	8	35,740	140	5,449	26.33
Luxembourgish	Lëtzebuergesch	lb	52,392	114,460	2,104,911	5	39,743	77	2,559	25.81
Haitian	Kreyòl ayisyen	ht	52,095	63,881	706,612	2	19,389	25	0	0.57
Scots	Scots	sco	51,744	188,041	667,171	4	49,631	97	1,383	24.62
Marathi	मराठी	mr	51,351	212,085	1,588,550	9	88,443	294	19,316	73.39
Afrikaans	Afrikaans	af	49,483	121,649	1,663,208	13	99,445	143	8,748	29.08
Irish	Gaeilge	ga	46,567	77,020	888,216	8	34,948	108	1,191	4.93
Western Punjabi	پنجابی	pnb	46,472	65,924	502,612	2	21,190	29	238	1.34
Icelandic	íslenska	is	44,933	119,243	1,588,547	25	61,214	140	3,024	36.44
Bashkir	башҡортса	ba	42,716	123,846	805,727	7	22,185	78	1,308	23.47
Swahili	Kiswahili	sw	41,330	93,923	1,027,513	9	31,780	78	2,171	17.71
Chuvash	Чӑвашла	cv	41,226	70,832	628,374	2	22,799	38	536	4.58
West Frisian	Frysk	fy	40,053	117,102	916,472	9	29,893	82	6,347	28.96
Sundanese	Basa Sunda	su	39,580	68,046	537,333	7	19,786	58	541	4.08
Burmese	မြန်မာဘာသာ	my	38,441	80,505	399,088	4	49,980	88	3,469	5.94
Lombard	lumbaart	lmo	37,319	97,385	966,920	6	22,754	48	4,437	25.72
Aragonese	aragonés	an	33,007	105,387	1,607,200	5	48,050	54	1,239	73.33
Yoruba	Yorùbá	yo	31,627	53,756	512,642	2	17,214	27	174	4.67
Nepali	नेपाली	ne	30,534	85,825	638,888	11	37,205	75	593	24.41
Low Saxon	Plattdüütsch	nds	30,197	81,292	816,896	3	32,535	43	0	28.77
Eastern Punjabi	ਪੰਜਾਬੀ	pa	28,872	98,218	423,733	8	23,153	136	1,317	24.89
Gujarati	ગુજરાતી	gu	27,730	78,854	569,629	4	40,240	125	1	24.55
Ido	Ido	io	27,576	41,456	927,096	4	24,234	46	1	5.67
Sicilian	sicilianu	scn	25,976	55,059	721,929	8	29,430	34	1,408	16.44
Bavarian	Boarisch	bar	25,898	98,600	686,141	6	41,472	59	1,263	54.84
Bishnupriya Manipuri	বিষ্ণুপ্রিয়া মণিপুরী	bpy	25,080	58,170	780,433	1	18,104	23	49	23.35
Alemannic	Alemannisch	als	24,437	56,236	823,582	8	63,087	88	453	24.8
Kurdish (Kurmanji)	kurdî	ku	23,418	59,309	701,266	3	35,222	46	615	27.77
Kannada	ಕನ್ನಡ	kn	23,331	89,363	842,639	5	45,725	211	3,311	75.53
Kurdish (Sorani)	کوردی	ckb	21,596	117,614	570,787	7	31,558	79	819	95.93
